Name,School,Date,Time,Timezone,Format,Description,Location,Registration URL
The HBS MBA Experience Insights from Alumni in Istanbul,Harvard Business School,5/5/2026,19:00,Europe/Istanbul,In-Person,Join HBS Alumni for an information session about our MBA Program.,Istanbul Turkey,
MBA Program Open House,Harvard Business School,5/8/2026,15:00,America/New_York,In-Person,Join the MBA Admissions team for an engaging campus tour and comprehensive MBA Program information session.,Boston MA,
Top Business Schools Present in Chapel Hill,Harvard Business School,5/14/2026,00:00,America/New_York,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Chapel Hill NC,
HBS Information Session in Chicago,Harvard Business School,5/14/2026,18:00,America/Chicago,In-Person,Join us for an information session about our MBA Program.,Chicago IL,
MBA Program Open House,Harvard Business School,5/15/2026,15:00,America/New_York,In-Person,Join the MBA Admissions team for an engaging campus tour and comprehensive MBA Program information session.,Boston MA,
HBS Information Session in Milan,Harvard Business School,5/18/2026,19:00,Europe/Rome,In-Person,Join us for an information session about our MBA Program.,Milan Italy,
HBS Information Session in Barcelona,Harvard Business School,5/20/2026,18:30,Europe/Madrid,In-Person,Join us for an information session about our MBA Program.,Barcelona Spain,
MBA Program Open House,Harvard Business School,5/22/2026,15:00,America/New_York,In-Person,Join the MBA Admissions team for an engaging campus tour and comprehensive MBA Program information session.,Boston MA,
Top Business Schools Present in London,Harvard Business School,6/1/2026,00:00,Europe/London,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,London UK,
HBS Information Session in Miami,Harvard Business School,6/1/2026,18:00,America/New_York,In-Person,Join us for an information session about our MBA Program.,Miami FL,
Top Business Schools Present in Paris,Harvard Business School,6/2/2026,00:00,Europe/Paris,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Paris France,
HBS Information Session in Atlanta,Harvard Business School,6/2/2026,18:00,America/New_York,In-Person,Join us for an information session about our MBA Program.,Atlanta GA,
Top Business Schools Present in Madrid,Harvard Business School,6/3/2026,00:00,Europe/Madrid,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Madrid Spain,
Top Business Schools Present in Philadelphia,Harvard Business School,6/8/2026,00:00,America/New_York,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Philadelphia PA,
Inside the MS/MBA Engineering Sciences Program,Harvard Business School,6/15/2026,12:00,America/New_York,Virtual,Learn how this joint degree blends advanced engineering and business leadership and startup innovation.,Online,
Top Business Schools Present in Denver,Harvard Business School,6/22/2026,00:00,America/Denver,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Denver CO,
Top Business Schools Present in Salt Lake City,Harvard Business School,6/23/2026,00:00,America/Denver,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Salt Lake City UT,
Harvard Graduate School Information Session in Washington D.C.,Harvard Business School,6/24/2026,00:00,America/New_York,In-Person,Prospective applicants can learn more about Harvard Business School and other Harvard graduate programs.,Washington D.C.,
Top Business Schools Present in Houston,Harvard Business School,7/6/2026,00:00,America/Chicago,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Houston TX,
Top Business Schools Present in Austin,Harvard Business School,7/7/2026,00:00,America/Chicago,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Austin TX,
Top Business Schools Present in Dallas,Harvard Business School,7/8/2026,00:00,America/Chicago,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Dallas TX,
HBS Information Session in Tokyo,Harvard Business School,7/11/2026,09:30,Asia/Tokyo,In-Person,Join us for an information session about our MBA Program.,Tokyo Japan,
Top Business Schools Present in Chicago,Harvard Business School,7/13/2026,00:00,America/Chicago,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Chicago IL,
Top Business Schools Present in Detroit,Harvard Business School,7/15/2026,00:00,America/Detroit,In-Person,Join admissions leaders from several top business schools for a panel discussion and networking reception.,Detroit MI,
Clear Admit MBA Fair 2026,Wharton,5/11/2026,17:00,America/New_York,In-Person,This fair provides prospective students the opportunity to learn about the Wharton MBA program.,GEORGE TOWER | SCHELLER TOWER ATLANTA,
Top Business Schools Present Chapel Hill,Wharton,5/14/2026,18:30,America/New_York,In-Person,Wharton joins other top business schools to discuss the MBA experience and admissions.,UNC KENAN-FLAGLER BUSINESS SCHOOL CHAPEL HILL,
Top Business Schools Present Trailblazing the Path to Business School,Wharton,5/15/2026,12:00,America/New_York,Virtual,This online session features insights from multiple business schools about the path to an MBA.,Online,
Clear Admit MBA Application Overview,Wharton,5/26/2026,12:00,America/New_York,Virtual,Admissions experts provide a comprehensive overview of the MBA application process.,Online,
Top Israel MBA Fair 2026,Wharton,5/27/2026,17:00,Asia/Jerusalem,In-Person,Prospective students in Israel can meet with representatives from Wharton and other top schools.,DAN PANORAMA TEL AVIV HOTEL TEL AVIV-YAFO,
Top Business Schools Present Brussels,Wharton,5/30/2026,14:00,Europe/Brussels,In-Person,Top MBA programs host an information session for prospective students in Brussels.,BRUSSELS,
Top Business Schools Present London,Wharton,6/1/2026,18:30,Europe/London,In-Person,Join admissions officers in London to learn about the benefits of a top-tier MBA.,THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS LONDON,
Top Business Schools Present Paris,Wharton,6/2/2026,19:00,Europe/Paris,In-Person,Admissions representatives present information about the MBA to candidates in Paris.,UNIVERSITY OF CHICAGO JOHN W BOYER CENTER IN PARIS PARIS,
Top Business Schools Present Madrid,Wharton,6/3/2026,18:00,Europe/Madrid,In-Person,Connect with top business schools at this information session in Madrid.,MADRID,
Amsterdam MBA Fair 2026,Wharton,6/4/2026,17:30,Europe/Amsterdam,In-Person,This fair in Amsterdam offers the chance to network with Wharton admissions staff.,ST. NICOLAASLYCEUM AMSTERDAM,
Top Business Schools Present Milan,Wharton,6/4/2026,18:00,Europe/Rome,In-Person,Representatives from elite MBA programs host an event for candidates in Milan.,PALAZZO LEGANCE MILAN,
Top Business Schools Present Philadelphia,Wharton,6/8/2026,18:00,America/New_York,In-Person,This event in Philadelphia provides an overview of MBA opportunities at top schools.,THE WHARTON SCHOOL PHILADELPHIA,
Top Business Schools Present Denver,Wharton,6/22/2026,18:00,America/Denver,In-Person,Learn about pursuing an MBA during this information session in Denver.,DANIELS COLLEGE OF BUSINESS UNIVERSITY OF DENVER DENVER,
Top Business Schools Present Salt Lake City,Wharton,6/23/2026,18:00,America/Denver,In-Person,Admissions officers from top business schools visit Salt Lake City for a joint presentation.,DAVID ECCLES SCHOOL OF BUSINESS SALT LAKE CITY,
Top Business Schools Present Houston,Wharton,7/6/2026,18:00,America/Chicago,In-Person,Prospective MBA students in Houston can meet with admissions representatives from top schools.,HOUSTON,
Top Business Schools Present Austin,Wharton,7/7/2026,18:00,America/Chicago,In-Person,Top business schools provide information about their MBA programs at this Austin event.,AUSTIN,
Top Business Schools Present Dallas,Wharton,7/8/2026,18:00,America/Chicago,In-Person,Discover the benefits of an MBA at this multi-school presentation in Dallas.,DALLAS,
Top Business Schools Present Chicago,Wharton,7/13/2026,18:00,America/Chicago,In-Person,Wharton and other elite business schools host an information session in Chicago.,THE UNIVERSITY OF CHICAGO GLEACHER CENTER CHICAGO,
Top Business Schools Present Detroit,Wharton,7/15/2026,18:00,America/New_York,In-Person,Meet with admissions officers in Detroit to learn more about top MBA programs.,HOTEL DAVID WHITNEY DETROIT,
Top Business Schools Present San Francisco,Wharton,7/21/2026,18:00,America/Los_Angeles,In-Person,Join this presentation in San Francisco to learn about MBA admissions from top schools.,THE WESTIN ST. FRANCIS SAN FRANCISCO,
